symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
AWK,"$53,785",Benchmark,92.6,16.53%,"$44,037","$40,050",-43.8%,"$79,716",V2
AMP,"$57,262",Benchmark,107.3,14.37%,"$17,636","$21,667",-74.01%,"$71,980",V2
AME,"$487,813",Benchmark,99.0,14.89%,"$63,096","$120,891",-48.91%,"$594,274",V2
AMGN,"$6,169,084",Benchmark,124.9,25.79%,"$2,094,485","$2,201,493",-77.05%,"$6,825,443",V2
APH,"$949,542",Benchmark,84.5,21.89%,"$103,876","$205,649",-70.69%,"$1,246,069",V2
ADI,"$382,750",Benchmark,133.8,12.48%,"$113,067","$148,198",-80.65%,"$510,607",V2
ANSS,"$86,621",Benchmark,97.9,12.03%,"$29,494","$43,374",-67.84%,"$163,484",V2
AON,"$1,400,991",Benchmark,111.9,17.91%,"$149,521","$293,069",-42.18%,"$1,454,393",V2
APA,"$12,709",Benchmark,169.6,0.78%,"$8,526","$11,952",-93.52%,"$47,426",V2
APO,"$145,409",Benchmark,108.2,34.64%,"$41,163","$49,991",-42.23%,"$202,864",V2
AMAT,"$20,598,496",Strategy,147.0,27.91%,"$554,059","$2,385,898",-76.24%,"$35,037,037",V2
APTV,"$81,056",Strategy,134.0,26.18%,"$32,200","$50,012",-42.96%,"$117,697",V2
ACGL,"$607,258",Strategy,98.8,22.79%,"$69,120","$131,934",-43.99%,"$686,452",V2
ADM,"$39,603",Benchmark,146.3,4.54%,"$27,991","$30,104",-76.75%,"$84,008",V2
ANET,"$105,553",Benchmark,103.1,40.03%,"$34,748","$47,228",-45.74%,"$194,517",V2
AJG,"$1,678,430",Benchmark,91.5,20.08%,"$95,102","$201,839",-52.61%,"$1,682,524",V2
AIZ,"$64,377",Benchmark,100.1,14.23%,"$15,442","$19,799",-77.88%,"$71,834",V2
T,"$607,954",Benchmark,111.9,15.8%,"$189,622","$215,345",-65.58%,"$643,015",V2
ATO,"$184,356",Benchmark,104.5,10.97%,"$42,176","$53,117",-52.81%,"$184,356",V2
ADSK,"$99,829",Benchmark,120.1,8.9%,"$27,012","$37,663",-92.67%,"$124,708",V2
ADP,"$549,484",Benchmark,89.5,13.8%,"$160,633","$203,558",-69.61%,"$719,849",V2
AZO,"$242,730",Benchmark,98.3,14.87%,"$22,661","$48,742",-73.08%,"$242,854",V2
AVB,"$234,977",Benchmark,110.2,16.22%,"$100,069","$97,474",-70.27%,"$267,128",V2
AVY,"$99,835",Benchmark,128.5,6.6%,"$17,336","$25,739",-81.95%,"$110,762",V2
AXON,"$3,417,513",Benchmark,150.4,44.0%,"$204,700","$472,713",-86.9%,"$4,606,708",V2
BKR,"$17,639",Benchmark,153.0,2.21%,"$14,358","$14,405",-71.52%,"$25,587",V2
BALL,"$1,901,879",Benchmark,118.7,15.69%,"$210,006","$820,259",-56.34%,"$3,977,180",V2
BAX,"$156,560",Benchmark,129.7,9.95%,"$110,672","$124,168",-64.51%,"$356,946",V2
BDX,"$237,154",Benchmark,115.7,9.19%,"$56,219","$93,512",-71.92%,"$395,627",V2
BRK-B,"$152,430",Benchmark,96.6,15.42%,"$28,515","$43,294",-51.31%,"$154,601",V2
BBY,"$2,202,879",Benchmark,161.7,22.12%,"$498,244","$661,290",-77.39%,"$3,212,479",V2
TECH,"$1,180,575",Benchmark,132.4,21.99%,"$635,125","$831,931",-69.11%,"$3,821,318",V2
BIIB,"$41,173",Benchmark,159.3,6.35%,"$22,543","$26,676",-86.41%,"$86,851",V2
BLK,"$78,118",Benchmark,91.6,12.85%,"$36,762","$39,706",-73.09%,"$105,021",V2
BK,"$344,336",Benchmark,121.6,10.64%,"$86,180","$90,061",-70.92%,"$383,289",V2
BKNG,"$675,859",Strategy,129.8,28.13%,"$159,381","$205,301",-73.38%,"$811,531",V2
BSX,"$18,578",Benchmark,149.6,2.86%,"$8,723","$9,765",-92.55%,"$26,474",V2
BMY,"$1,058,153",Benchmark,118.9,13.82%,"$168,828","$289,720",-76.5%,"$1,154,964",V2
AVGO,"$856,700",Benchmark,72.0,56.06%,"$101,230","$221,129",-41.03%,"$1,378,729",V2
BR,"$91,542",Benchmark,81.2,20.26%,"$29,580","$33,892",-44.6%,"$93,958",V2
BRO,"$6,180,834",Benchmark,109.9,23.89%,"$383,549","$697,453",-60.92%,"$6,180,834",V2
BF-B,"$599,040",Benchmark,116.9,14.11%,"$110,910","$275,256",-58.88%,"$1,456,759",V2
BLDR,"$120,542",Strategy,166.5,21.11%,"$12,729","$31,440",-86.82%,"$209,263",V2
