symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
MTB,"$2,030,002",Benchmark,99.3,18.62%,"$796,740","$1,003,035",-65.51%,"$3,703,303",V2
MPC,"$108,595",Strategy,100.9,28.56%,"$29,309","$42,612",-50.45%,"$144,437",V2
MKTX,"$63,380",Benchmark,121.7,14.03%,"$16,793","$35,780",-84.56%,"$129,233",V2
MAR,"$315,751",Strategy,113.4,20.35%,"$36,762","$84,689",-59.95%,"$415,578",V2
MMC,"$459,876",Benchmark,108.5,11.22%,"$47,130","$75,968",-73.82%,"$459,877",V2
MLM,"$62,158",Benchmark,135.9,8.89%,"$20,369","$25,536",-72.88%,"$87,877",V2
MAS,"$105,976",Benchmark,128.3,7.88%,"$33,044","$43,010",-74.71%,"$141,958",V2
MA,"$432,664",Benchmark,65.3,33.62%,"$107,214","$158,778",-46.26%,"$469,959",V2
MTCH,"$77,538",Benchmark,147.5,9.66%,"$13,892","$43,329",-75.59%,"$214,154",V2
MKC,"$204,479",Benchmark,119.0,8.74%,"$31,344","$58,046",-58.64%,"$246,960",V2
MCK,"$197,937",Benchmark,118.9,15.31%,"$31,661","$48,166",-76.83%,"$198,601",V2
MDT,"$4,119,068",Benchmark,116.8,18.28%,"$1,462,309","$1,594,341",-66.95%,"$6,292,546",V2
META,"$76,571",Benchmark,66.7,25.79%,"$35,160","$37,894",-68.76%,"$106,005",V2
MET,"$16,631",Benchmark,107.0,3.0%,"$8,839","$9,898",-69.65%,"$19,211",V2
MTD,"$172,385",Benchmark,103.1,16.28%,"$42,736","$85,977",-60.05%,"$354,890",V2
MGM,"$374,738",Strategy,154.0,15.28%,"$67,799","$186,251",-68.36%,"$797,825",V2
MCHP,"$67,702",Benchmark,122.0,9.04%,"$15,180","$23,829",-87.57%,"$94,249",V2
MU,"$635,173",Strategy,169.5,15.86%,"$53,094","$140,772",-96.65%,"$1,135,058",V2
MAA,"$199,239",Benchmark,103.3,14.93%,"$52,691","$71,018",-51.32%,"$213,639",V2
MHK,"$1,847,302",Strategy,146.2,25.76%,"$79,201","$318,199",-51.18%,"$2,854,267",V2
MOH,"$19,921",Benchmark,131.7,4.7%,"$9,786","$11,241",-82.46%,"$30,507",V2
TAP,"$14,447",Benchmark,167.3,1.08%,"$6,323","$7,436",-87.25%,"$18,118",V2
MDLZ,"$19,384",Benchmark,110.5,4.12%,"$16,427","$15,156",-39.15%,"$26,264",V2
MPWR,"$110,383",Benchmark,100.0,18.65%,"$27,735","$53,263",-76.16%,"$242,276",V2
MNST,"$17,457",Benchmark,146.3,2.07%,"$4,617","$6,355",-99.93%,"$23,277",V2
MCO,"$83,622",Benchmark,95.7,10.65%,"$17,912","$28,766",-92.41%,"$98,071",V2
MOS,"$30,120",Strategy,185.6,4.39%,"$14,075","$15,690",-85.31%,"$78,727",V2
MSI,"$1,104,160",Benchmark,132.3,11.39%,"$127,289","$180,262",-93.89%,"$1,312,149",V2
MSCI,"$111,819",Benchmark,81.0,22.33%,"$35,161","$65,751",-51.29%,"$222,362",V2
NDAQ,"$597,401",Strategy,113.9,29.77%,"$102,269","$198,094",-53.2%,"$703,154",V2
NTAP,"$1,789,235",Strategy,149.9,29.2%,"$873,976","$827,851",-83.32%,"$2,641,706",V2
NFLX,"$8,018,413",Benchmark,106.9,52.83%,"$1,225,523","$2,395,451",-82.14%,"$9,559,542",V2
NWSA,"$14,346",Benchmark,149.7,4.54%,"$9,695","$10,266",-47.36%,"$16,715",V2
NWS,"$13,131",Benchmark,154.4,3.41%,"$8,594","$9,025",-49.13%,"$15,565",V2
NI,"$295,678",Benchmark,129.5,9.86%,"$50,422","$78,622",-72.92%,"$306,687",V2
NDSN,"$137,334",Benchmark,129.6,8.79%,"$63,331","$83,663",-76.18%,"$249,669",V2
NSC,"$287,717",Benchmark,111.9,12.03%,"$70,093","$111,224",-63.09%,"$499,544",V2
NTRS,"$828,978",Benchmark,107.8,15.26%,"$402,255","$383,956",-74.61%,"$1,033,428",V2
NOC,"$468,728",Benchmark,105.8,13.75%,"$75,936","$171,276",-63.53%,"$735,949",V2
NCLH,"$11,770",Strategy,157.6,1.96%,"$15,629","$15,533",-50.61%,"$21,370",V2
NRG,"$112,535",Strategy,128.0,17.89%,"$31,298","$36,238",-65.82%,"$130,268",V2
NUE,"$177,257",Benchmark,134.0,9.68%,"$61,407","$70,583",-79.78%,"$272,897",V2
NVR,$9,Benchmark,307.2,-22.3%,$10,$722,-99.95%,"$14,141",V2
NXPI,"$39,208",Benchmark,99.8,14.48%,"$18,625","$21,859",-57.34%,"$61,107",V2
ORLY,"$2,455,638",Benchmark,81.5,28.37%,"$83,993","$352,369",-52.28%,"$2,455,639",V2
OXY,"$153,260",Benchmark,131.6,9.57%,"$50,466","$70,260",-77.25%,"$241,747",V2
ODFL,"$18,453",Benchmark,114.8,2.69%,"$2,869","$5,638",-98.47%,"$27,143",V2
OMC,"$143,537",Benchmark,111.7,8.94%,"$109,241","$94,479",-62.29%,"$216,127",V2
ON,"$128,559",Strategy,156.7,16.03%,"$44,526","$61,385",-80.4%,"$252,297",V2
OKE,"$2,943,280",Strategy,111.2,20.32%,"$57,672","$406,135",-59.68%,"$3,752,950",V2
ORCL,"$2,112,031",Benchmark,107.9,21.96%,"$513,346","$619,986",-83.37%,"$3,190,427",V2
OTIS,"$15,766",Benchmark,84.9,14.0%,"$12,827","$12,947",-26.5%,"$16,260",V2
PCAR,"$825,598",Benchmark,122.2,15.24%,"$65,841","$216,140",-59.11%,"$1,326,374",V2
PKG,"$74,179",Benchmark,95.4,12.24%,"$19,831","$29,712",-74.85%,"$97,163",V2
PLTR,"$73,057",Strategy,122.7,89.77%,"$11,894","$19,105",-57.01%,"$101,816",V2
PANW,"$67,830",Benchmark,105.2,24.45%,"$20,007","$29,269",-56.1%,"$87,641",V2
PARA,"$15,038",Strategy,174.4,3.11%,"$26,807","$26,049",-84.67%,"$94,327",V2
PH,"$225,005",Benchmark,115.1,10.53%,"$29,541","$45,682",-62.49%,"$285,517",V2
PAYX,"$510,430",Benchmark,104.1,14.67%,"$157,106","$176,716",-73.73%,"$515,117",V2
PAYC,"$69,989",Benchmark,109.9,29.35%,"$68,774","$75,893",-70.33%,"$194,824",V2
PYPL,"$16,678",Strategy,105.9,7.91%,"$19,602","$21,976",-75.89%,"$51,024",V2
PNR,"$353,478",Benchmark,135.0,10.45%,"$84,321","$106,631",-68.53%,"$472,293",V2
PCG,"$625,996",Strategy,108.1,12.0%,"$200,000","$295,170",-67.51%,"$1,032,735",V2
PM,"$38,306",Benchmark,110.3,12.1%,"$23,202","$22,234",-51.04%,"$38,307",V2
PNW,"$111,527",Benchmark,128.6,6.93%,"$39,219","$42,505",-62.88%,"$142,605",V2
PNC,"$526,308",Benchmark,119.3,12.32%,"$209,793","$230,645",-59.57%,"$798,110",V2
POOL,"$466,869",Benchmark,85.9,20.82%,"$89,776","$206,745",-62.28%,"$969,463",V2
PPG,"$94,845",Benchmark,118.4,7.5%,"$63,250","$66,997",-75.59%,"$144,127",V2
PPL,"$227,960",Benchmark,103.2,10.57%,"$114,749","$107,721",-63.83%,"$323,382",V2
PFG,"$120,329",Strategy,99.8,16.64%,"$36,533","$49,558",-64.84%,"$151,929",V2
PGR,"$14,039,302",Benchmark,93.2,26.23%,"$823,455","$1,638,589",-65.24%,"$14,240,667",V2
PRU,"$73,610",Strategy,119.4,13.23%,"$32,045","$33,446",-58.7%,"$81,893",V2
PEG,"$305,576",Benchmark,92.6,11.56%,"$115,149","$113,222",-59.78%,"$348,919",V2
PTC,"$694,477",Strategy,132.8,19.01%,"$204,671","$253,795",-81.16%,"$922,945",V2
PSA,"$379,717",Benchmark,112.3,12.6%,"$66,754","$120,284",-76.51%,"$512,144",V2
PHM,"$8,496,411",Strategy,153.1,24.21%,"$591,106","$1,507,350",-69.47%,"$12,714,018",V2
PWR,"$342,302",Strategy,127.0,20.79%,"$44,567","$75,805",-82.87%,"$490,139",V2
QCOM,"$305,439",Benchmark,158.4,16.05%,"$280,480","$246,805",-89.65%,"$961,629",V2
DGX,"$180,944",Benchmark,120.3,16.0%,"$72,115","$82,690",-62.21%,"$219,487",V2
RL,"$72,713",Benchmark,146.7,10.9%,"$33,266","$31,209",-64.59%,"$100,686",V2
RJF,"$534,884",Benchmark,114.6,14.8%,"$130,004","$160,352",-60.75%,"$706,222",V2
RTX,"$3,328,368",Benchmark,115.2,14.3%,"$327,664","$788,261",-55.35%,"$3,467,144",V2
O,"$124,513",Benchmark,100.5,12.76%,"$51,573","$67,435",-63.61%,"$206,435",V2
REG,"$539,411",Strategy,109.6,20.2%,"$218,152","$219,953",-46.23%,"$643,031",V2
REGN,"$196,142",Benchmark,153.3,13.52%,"$18,570","$82,107",-89.46%,"$323,204",V2
RF,"$438,480",Strategy,120.3,12.92%,"$89,564","$125,790",-71.87%,"$602,180",V2
RSG,"$217,664",Benchmark,69.0,18.18%,"$24,011","$41,943",-64.75%,"$217,664",V2
RMD,"$780,687",Benchmark,105.4,23.59%,"$146,062","$224,325",-68.3%,"$940,669",V2
RVTY,"$301,845",Benchmark,128.9,9.93%,"$82,029","$114,878",-90.13%,"$452,128",V2
ROK,"$667,276",Benchmark,120.7,15.1%,"$252,238","$355,475",-76.36%,"$1,236,010",V2
ROL,"$258,888",Benchmark,105.7,11.02%,"$38,412","$69,367",-63.53%,"$294,831",V2
ROP,"$969,829",Benchmark,87.1,22.15%,"$191,664","$333,679",-59.23%,"$1,085,832",V2
ROST,"$1,053,614",Benchmark,121.3,18.55%,"$117,662","$337,041",-72.1%,"$1,768,350",V2
RCL,"$103,192",Benchmark,137.6,11.18%,"$19,931","$29,383",-80.47%,"$145,423",V2
SPGI,"$5,079,070",Benchmark,93.2,18.89%,"$238,366","$832,864",-55.54%,"$5,633,373",V2
SBAC,"$3,855,143",Strategy,114.4,39.77%,"$1,531,020","$2,210,444",-60.01%,"$7,935,591",V2
SLB,"$68,779",Benchmark,150.1,6.67%,"$43,367","$43,333",-79.67%,"$121,750",V2
STX,"$22,824",Benchmark,136.9,5.51%,"$7,398","$9,232",-87.99%,"$34,739",V2
SRE,"$80,062",Benchmark,109.1,11.94%,"$34,833","$43,764",-55.02%,"$111,906",V2
NOW,"$121,725",Benchmark,75.6,32.88%,"$41,728","$55,015",-42.37%,"$187,760",V2
SWKS,"$27,381",Benchmark,170.9,3.66%,"$9,348","$17,830",-95.54%,"$80,517",V2
SJM,"$71,566",Benchmark,137.3,9.83%,"$23,984","$30,681",-54.79%,"$71,609",V2
SNA,"$106,598",Benchmark,122.3,6.79%,"$19,652","$30,365",-64.18%,"$120,097",V2
SOLV,"$9,657",Strategy,1.4,-4.88%,"$10,284","$10,377",-16.42%,"$11,555",V2
LUV,"$94,853",Benchmark,157.7,7.46%,"$109,167","$122,488",-88.38%,"$498,840",V2
SWK,"$48,179",Benchmark,128.4,5.18%,"$23,501","$28,559",-72.64%,"$117,453",V2
SBUX,"$364,587",Benchmark,125.7,17.24%,"$69,373","$165,308",-54.88%,"$542,024",V2
STT,"$7,760,875",Strategy,114.6,23.85%,"$1,266,519","$2,356,134",-58.82%,"$10,552,688",V2
STLD,"$74,103",Benchmark,134.6,10.79%,"$14,835","$20,771",-82.83%,"$107,305",V2
STE,"$237,437",Benchmark,107.1,15.0%,"$25,703","$57,672",-74.25%,"$250,480",V2
SYK,"$5,442,275",Benchmark,95.5,22.44%,"$577,377","$1,148,023",-61.27%,"$5,897,981",V2
SMCI,"$146,762",Benchmark,139.3,24.14%,"$7,457","$14,933",-87.85%,"$221,758",V2
SYF,"$23,896",Strategy,145.7,12.57%,"$13,310","$15,274",-40.87%,"$36,113",V2
SNPS,"$44,250",Benchmark,110.1,6.73%,"$7,604","$13,508",-88.35%,"$64,068",V2
SYY,"$2,497,732",Benchmark,103.5,16.64%,"$439,458","$687,121",-66.93%,"$2,765,642",V2
TMUS,"$130,309",Strategy,108.1,23.04%,"$37,061","$40,932",-58.39%,"$132,710",V2
TROW,"$190,760",Benchmark,106.3,11.57%,"$146,200","$146,229",-72.18%,"$501,438",V2
TTWO,"$119,657",Benchmark,139.4,13.74%,"$37,324","$48,106",-82.4%,"$158,016",V2
TPR,"$128,625",Benchmark,143.2,16.34%,"$70,644","$65,349",-72.23%,"$166,766",V2
TRGP,"$327,347",Strategy,99.5,42.39%,"$36,339","$68,256",-63.95%,"$392,011",V2
TGT,"$2,980,719",Benchmark,125.4,17.14%,"$585,945","$1,066,333",-57.89%,"$5,659,648",V2
TEL,"$23,906",Benchmark,106.2,7.36%,"$15,497","$16,514",-63.29%,"$31,632",V2
TDY,"$100,113",Benchmark,92.9,14.09%,"$16,979","$36,079",-64.76%,"$127,974",V2
TER,"$394,802",Benchmark,159.8,10.75%,"$101,034","$133,666",-86.29%,"$872,622",V2
TXN,"$125,729",Benchmark,146.1,7.18%,"$18,604","$34,204",-74.13%,"$170,143",V2
TPL,"$2,494,118",Benchmark,146.2,19.41%,"$21,272","$303,357",-62.21%,"$3,422,022",V2
TXT,"$261,214",Benchmark,131.6,9.49%,"$41,738","$68,460",-71.07%,"$310,590",V2
TMO,"$412,678",Benchmark,104.3,12.7%,"$63,633","$121,522",-82.49%,"$664,530",V2
TJX,"$1,023,551",Benchmark,103.4,19.43%,"$80,850","$184,150",-62.46%,"$1,034,866",V2
TKO,"$132,322",Benchmark,148.4,15.86%,"$9,318","$28,328",-64.01%,"$154,933",V2
TSCO,"$707,642",Benchmark,129.5,21.95%,"$28,783","$128,566",-83.24%,"$752,706",V2
TT,"$1,170,385",Benchmark,109.0,16.54%,"$69,996","$163,978",-73.06%,"$1,565,667",V2
TDG,"$382,265",Benchmark,57.9,31.96%,"$86,298","$107,740",-50.05%,"$395,764",V2
TRV,"$120,831",Benchmark,117.5,7.58%,"$20,792","$29,566",-63.89%,"$121,764",V2
TRMB,"$58,208",Benchmark,148.2,7.63%,"$23,433","$25,915",-81.51%,"$74,816",V2
TFC,"$90,136",Benchmark,122.1,7.32%,"$53,664","$49,590",-71.79%,"$119,260",V2
TYL,"$389,390",Benchmark,140.4,12.49%,"$25,963","$69,163",-88.35%,"$442,023",V2
TSN,"$34,821",Benchmark,152.5,4.09%,"$12,082","$16,013",-76.6%,"$52,581",V2
USB,"$613,976",Benchmark,112.7,12.16%,"$210,927","$240,552",-56.81%,"$764,302",V2
UBER,"$21,197",Strategy,121.3,20.3%,"$15,868","$15,859",-62.28%,"$26,222",V2
UDR,"$612,206",Benchmark,90.0,14.14%,"$99,166","$194,666",-69.35%,"$647,158",V2
ULTA,"$114,214",Benchmark,103.2,22.46%,"$69,935","$75,012",-53.32%,"$176,463",V2
UAL,"$11,216",Benchmark,146.4,0.87%,"$9,903","$9,772",-91.0%,"$20,566",V2
UPS,"$28,692",Benchmark,142.2,6.21%,"$12,260","$14,676",-59.58%,"$33,268",V2
URI,"$512,769",Strategy,141.5,23.29%,"$39,145","$100,915",-68.94%,"$680,895",V2
UHS,"$316,482",Benchmark,131.8,12.12%,"$64,535","$103,079",-84.6%,"$441,588",V2
VLO,"$81,556",Benchmark,139.3,7.28%,"$12,418","$20,759",-84.45%,"$101,373",V2
VTR,"$120,636",Benchmark,114.9,13.81%,"$77,874","$61,576",-71.64%,"$130,404",V2
VLTO,"$10,016",Strategy,39.8,0.16%,"$10,361","$10,419",-15.45%,"$11,308",V2
VRSN,"$1,596,727",Strategy,117.9,31.11%,"$252,096","$455,241",-90.24%,"$1,597,165",V2
VRSK,"$85,676",Benchmark,74.5,22.29%,"$27,217","$38,249",-30.29%,"$85,677",V2
VZ,"$45,964",Benchmark,121.5,5.49%,"$21,926","$25,289",-77.77%,"$49,937",V2
VRTX,"$198,665",Benchmark,151.8,13.72%,"$22,609","$44,741",-84.24%,"$241,403",V2
VTRS,"$46,179",Benchmark,173.0,5.04%,"$32,051","$45,147",-86.66%,"$188,859",V2
VICI,"$31,223",Strategy,95.9,25.59%,"$25,709","$22,934",-31.91%,"$33,423",V2
V,"$311,983",Strategy,65.1,34.01%,"$66,285","$99,764",-34.76%,"$333,414",V2
VST,"$120,068",Strategy,90.6,52.92%,"$19,082","$31,438",-40.17%,"$185,056",V2
VMC,"$867,760",Benchmark,106.2,13.2%,"$216,793","$238,516",-76.39%,"$1,088,870",V2
WRB,"$9,902,753",Benchmark,116.7,21.42%,"$260,902","$1,016,801",-60.02%,"$10,040,819",V2
GWW,"$404,926",Benchmark,113.0,10.83%,"$42,249","$77,769",-59.82%,"$487,886",V2
WAB,"$286,931",Benchmark,111.2,17.75%,"$45,390","$77,928",-53.46%,"$346,451",V2
WBA,"$369,446",Benchmark,140.1,12.3%,"$585,693","$557,273",-77.5%,"$1,543,952",V2
DIS,"$5,933,073",Benchmark,130.8,15.77%,"$520,116","$1,447,521",-72.29%,"$8,737,467",V2
WBD,"$14,102",Strategy,174.6,2.56%,"$26,042","$25,421",-80.22%,"$67,154",V2
WM,"$73,428",Benchmark,105.9,8.17%,"$24,579","$30,015",-88.93%,"$89,244",V2
WAT,"$57,487",Benchmark,129.2,9.02%,"$51,225","$48,946",-65.93%,"$99,496",V2
WEC,"$784,708",Benchmark,87.3,15.05%,"$80,615","$225,633",-44.09%,"$940,085",V2
WFC,"$778,101",Benchmark,114.3,12.67%,"$270,541","$270,466",-67.5%,"$967,160",V2
WELL,"$1,127,682",Benchmark,105.5,16.41%,"$95,028","$171,008",-58.65%,"$1,160,455",V2
WST,"$1,389,372",Benchmark,112.1,17.19%,"$85,639","$519,299",-67.5%,"$4,013,725",V2
WDC,"$32,939",Benchmark,168.0,3.79%,"$29,132","$48,528",-98.39%,"$485,267",V2
WY,"$54,365",Benchmark,145.8,4.83%,"$23,312","$30,585",-55.3%,"$111,335",V2
WSM,"$2,746,100",Benchmark,131.9,21.51%,"$246,712","$464,745",-80.05%,"$4,498,158",V2
WMB,"$914,553",Benchmark,101.7,16.32%,"$137,809","$231,488",-77.31%,"$954,370",V2
WTW,"$23,023",Benchmark,122.4,5.21%,"$15,269","$15,171",-45.7%,"$29,538",V2
WDAY,"$23,055",Benchmark,120.0,10.21%,"$18,430","$18,819",-58.0%,"$35,802",V2
WYNN,"$202,493",Strategy,141.7,21.47%,"$207,361","$191,501",-64.9%,"$441,820",V2
XEL,"$680,474",Benchmark,112.0,12.44%,"$74,491","$227,654",-48.15%,"$993,953",V2
XYL,"$25,256",Benchmark,111.6,10.5%,"$22,564","$21,413",-43.46%,"$39,354",V2
YUM,"$350,087",Benchmark,91.6,20.6%,"$150,278","$151,954",-43.64%,"$378,872",V2
ZBRA,"$117,529",Benchmark,125.8,11.2%,"$19,566","$38,540",-78.15%,"$185,673",V2
VIX,"$11,690",Strategy,146.3,7.52%,"$9,191","$9,253",-33.17%,"$14,691",V2
QQQ,"$52,697",Benchmark,95.8,9.68%,"$10,175","$17,089",-69.53%,"$59,822",V2
IWM,"$19,673",Benchmark,112.3,4.03%,"$14,923","$15,240",-46.88%,"$24,312",V2
XLK,"$58,588",Benchmark,101.2,10.25%,"$11,986","$19,516",-63.0%,"$73,106",V2
XLF,"$93,710",Strategy,116.0,13.14%,"$29,620","$39,882",-59.46%,"$110,673",V2
XLE,"$30,141",Benchmark,117.5,6.28%,"$26,261","$24,658",-70.22%,"$41,723",V2
XLV,"$51,065",Benchmark,104.3,9.41%,"$17,924","$26,909",-36.97%,"$59,742",V2
XLI,"$41,660",Benchmark,100.4,8.19%,"$15,486","$20,515",-48.73%,"$50,868",V2
XLY,"$23,763",Benchmark,97.6,4.89%,"$9,711","$13,449",-57.96%,"$32,069",V2
XLP,"$30,653",Benchmark,82.9,6.37%,"$14,069","$17,162",-40.69%,"$32,139",V2
XLU,"$100,860",Strategy,97.6,13.6%,"$54,025","$54,734",-40.45%,"$120,459",V2
XLB,"$15,098",Benchmark,107.6,2.3%,"$10,675","$11,382",-54.47%,"$18,114",V2
XLRE,"$7,638",Benchmark,107.3,-4.03%,"$8,528","$8,578",-42.32%,"$11,163",V2
MSFT,"$4,091,449",Benchmark,92.3,24.97%,"$367,159","$777,781",-70.21%,"$5,138,643",V2
ADBE,"$2,246,090",Benchmark,112.4,22.49%,"$205,714","$688,320",-62.61%,"$4,439,742",V2
CRM,"$92,965",Benchmark,94.8,16.82%,"$61,629","$63,040",-59.69%,"$141,875",V2
JPM,"$179,723",Benchmark,123.0,9.73%,"$40,885","$48,693",-77.93%,"$235,135",V2
BAC,"$175,377",Benchmark,133.2,8.28%,"$104,639","$103,548",-67.61%,"$304,893",V2
GS,"$59,927",Benchmark,143.7,10.53%,"$20,977","$23,240",-71.88%,"$86,389",V2
MS,"$35,767",Benchmark,138.5,5.92%,"$15,535","$17,911",-90.97%,"$53,604",V2
SCHW,"$2,468,470",Benchmark,128.6,23.68%,"$579,597","$1,026,202",-74.89%,"$4,084,901",V2
XOM,"$11,016,333",Strategy,106.7,17.41%,"$498,221","$2,482,928",-50.81%,"$12,844,856",V2
CVX,"$194,056",Benchmark,113.0,7.03%,"$82,532","$98,353",-61.94%,"$278,269",V2
COP,"$92,430",Benchmark,123.4,7.73%,"$31,065","$38,343",-77.28%,"$114,450",V2
EOG,"$446,771",Benchmark,134.4,16.77%,"$101,800","$132,568",-63.66%,"$660,418",V2
PSX,"$12,333",Benchmark,121.4,2.37%,"$11,871","$12,179",-60.0%,"$20,549",V2
JNJ,"$8,385,626",Benchmark,102.8,16.68%,"$930,674","$3,167,741",-52.02%,"$12,740,601",V2
PFE,"$1,036,620",Benchmark,132.8,13.55%,"$576,273","$558,561",-50.53%,"$2,095,365",V2
UNH,"$3,238,124",Benchmark,100.5,22.98%,"$262,960","$691,623",-74.7%,"$3,461,715",V2
LLY,"$982,422",Benchmark,119.2,13.39%,"$47,518","$99,199",-74.76%,"$1,236,445",V2
MRK,"$4,695,756",Benchmark,112.1,15.14%,"$909,054","$1,469,883",-69.17%,"$6,241,305",V2
BA,"$17,026,255",Strategy,135.1,18.59%,"$456,227","$3,552,545",-88.77%,"$26,561,863",V2
CAT,"$2,254,896",Benchmark,137.9,13.22%,"$83,067","$391,655",-57.31%,"$3,107,357",V2
DE,"$2,778,640",Benchmark,118.8,16.66%,"$164,327","$591,684",-56.9%,"$3,575,537",V2
LMT,"$4,732,727",Benchmark,105.8,20.29%,"$536,723","$1,421,213",-58.54%,"$6,897,559",V2
UNP,"$444,177",Benchmark,102.6,12.9%,"$62,426","$152,823",-56.8%,"$667,764",V2
TSLA,"$2,321,500",Strategy,140.0,70.66%,"$66,600","$632,976",-54.5%,"$4,158,993",V2
AMZN,"$1,103,994",Benchmark,117.3,27.7%,"$102,581","$288,119",-94.58%,"$1,604,875",V2
HD,"$15,779,601",Benchmark,98.6,27.74%,"$1,582,880","$3,703,579",-76.09%,"$18,682,926",V2
MCD,"$1,076,376",Benchmark,110.0,12.24%,"$119,413","$259,698",-81.26%,"$1,246,571",V2
NKE,"$3,372,648",Benchmark,119.0,20.93%,"$572,087","$2,163,004",-71.02%,"$11,637,155",V2
KO,"$2,303,041",Benchmark,103.8,13.28%,"$832,617","$805,939",-75.5%,"$3,165,124",V2
PEP,"$414,070",Benchmark,93.8,10.74%,"$141,575","$151,387",-53.91%,"$485,718",V2
WMT,"$8,249,768",Benchmark,103.4,20.29%,"$1,789,788","$1,935,063",-67.89%,"$9,645,809",V2
PG,"$2,186,732",Benchmark,102.0,13.14%,"$251,605","$600,460",-54.32%,"$2,446,034",V2
COST,"$276,543",Benchmark,107.6,13.21%,"$19,421","$44,692",-70.55%,"$307,359",V2
NEE,"$1,286,287",Benchmark,98.2,14.44%,"$49,169","$266,875",-40.55%,"$1,744,559",V2
DUK,"$1,196,056",Benchmark,94.0,16.61%,"$132,806","$302,527",-57.72%,"$1,275,647",V2
SO,"$855,566",Benchmark,83.5,16.05%,"$229,712","$283,507",-35.67%,"$932,518",V2
AEP,"$787,948",Benchmark,114.7,10.53%,"$43,858","$136,451",-72.61%,"$841,218",V2
EXC,"$2,680,858",Strategy,121.8,16.86%,"$373,139","$653,974",-65.64%,"$2,858,171",V2
LIN,"$867,599",Benchmark,85.8,21.79%,"$158,907","$244,374",-38.44%,"$1,057,663",V2
SHW,"$2,450,901",Benchmark,87.9,19.33%,"$115,369","$461,505",-48.57%,"$3,060,484",V2
NEM,"$6,906",Benchmark,169.8,-1.18%,"$13,502","$15,122",-86.18%,"$37,756",V2
APD,"$509,310",Benchmark,108.5,13.46%,"$87,939","$194,840",-40.27%,"$717,561",V2
FCX,"$176,556",Strategy,163.6,15.02%,"$73,233","$75,197",-74.66%,"$220,526",V2
PLD,"$29,056",Benchmark,91.8,5.82%,"$25,316","$27,267",-76.02%,"$72,199",V2
AMT,"$137,751",Strategy,104.3,15.06%,"$64,804","$76,736",-88.59%,"$213,633",V2
CCI,"$35,321",Benchmark,104.4,7.11%,"$30,007","$29,874",-86.86%,"$74,517",V2
SPG,"$303,671",Benchmark,99.3,17.12%,"$54,468","$87,345",-76.8%,"$393,795",V2
EQIX,"$163,059",Benchmark,109.5,17.85%,"$54,439","$71,876",-93.78%,"$215,823",V2
IONQ,"$318,718",Strategy,0.0,123.23%,"$78,220","$97,378",-60.83%,"$532,082",V2
HOOD,"$36,759",Benchmark,141.5,91.73%,"$9,542","$13,286",-48.23%,"$45,859",V2
PR,"$20,913",Strategy,81.5,8.5%,"$9,892","$12,375",-57.55%,"$28,958",V2
BX,"$62,811",Benchmark,78.1,10.82%,"$19,418","$27,317",-48.85%,"$95,999",V2
X,"$4,773",Benchmark,62.9,-2.14%,"$4,385","$4,928",-85.66%,"$13,136",V2
QTUM,"$25,365",Benchmark,71.3,15.04%,"$16,264","$16,692",-33.88%,"$29,947",V2
NKLA,"$8,602",Strategy,5.7,-3.03%,"$10,000","$9,530",-33.39%,"$12,915",V2
MRNA,"$33,051",Strategy,71.6,20.59%,"$55,951","$60,829",-84.38%,"$210,800",V2
VIR,"$1,631",Strategy,54.0,-27.9%,"$4,688","$4,451",-85.5%,"$10,343",V2
GLD,"$37,248",Benchmark,52.3,6.63%,"$21,602","$21,658",-39.54%,"$38,341",V2
DIA,"$27,443",Benchmark,33.9,3.76%,"$13,767","$15,885",-32.01%,"$29,951",V2
SRNE,"$7,410",Strategy,39.9,-1.16%,"$10,000","$11,673",-93.57%,"$48,777",V2
SPY,"$11,396",Strategy,34.1,2.56%,"$14,041","$14,769",-63.78%,"$29,212",V2
AAPL,"$11,396",Strategy,34.1,2.56%,"$14,041","$14,769",-63.78%,"$29,212",V2
NVDA,"$11,396",Strategy,34.1,2.56%,"$14,041","$14,769",-63.78%,"$29,212",V2
NVDA,"$11,396",Strategy,34.1,2.56%,"$14,041","$14,769",-63.78%,"$29,212",V2
