symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
SPY,"$12,609",Benchmark,13.5,4.59%,"$11,357","$11,333",-20.79%,"$12,826",V2
QTUM,"$15,741",Benchmark,68.0,20.02%,"$11,130","$11,527",-33.82%,"$16,803",V2
QTUM,"$15,741",Benchmark,68.0,20.02%,"$11,130","$11,527",-33.82%,"$16,803",V2
