symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
LIN,"$144,553",Benchmark,85.8,12.52%,"$33,005","$45,572",-69.05%,"$184,449"
SHW,"$4,349,418",Benchmark,88.2,21.55%,"$211,141","$830,296",-58.04%,"$5,301,575"
NEM,"$70,567",Benchmark,170.3,6.48%,"$21,378","$23,642",-76.31%,"$77,504"
APD,"$475,754",Benchmark,108.8,13.21%,"$62,579","$120,815",-55.25%,"$585,370"
FCX,"$15,552",Benchmark,165.3,2.18%,"$11,707","$14,655",-82.27%,"$39,248"
PLD,"$183,113",Strategy,91.3,16.66%,"$73,808","$86,470",-42.9%,"$288,285"
AMT,"$62,666",Benchmark,103.7,10.32%,"$32,206","$40,455",-94.24%,"$115,873"
CCI,"$362,213",Strategy,104.1,21.58%,"$188,496","$213,339",-82.59%,"$639,015"
SPG,"$419,845",Strategy,99.6,18.89%,"$92,625","$116,121",-66.95%,"$469,466"
EQIX,"$244,868",Strategy,109.9,20.71%,"$78,315","$126,879",-84.45%,"$416,081"

