symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
BALL,"$1,901,879",Benchmark,118.7,15.69%,"$210,006","$820,259",-56.34%,"$3,977,180"
BAC,"$217,535",Benchmark,133.1,8.93%,"$31,370","$48,387",-75.06%,"$275,736"
BAX,"$156,560",Benchmark,129.7,9.95%,"$110,672","$124,168",-64.51%,"$356,946"
BDX,"$237,154",Benchmark,115.7,9.19%,"$56,219","$93,512",-71.92%,"$395,627"
BRK-B,"$152,430",Benchmark,96.6,15.42%,"$28,515","$43,294",-51.31%,"$154,601"
BBY,"$2,202,879",Benchmark,161.7,22.12%,"$498,244","$661,290",-77.39%,"$3,212,479"
TECH,"$1,180,575",Benchmark,132.4,21.99%,"$635,125","$831,931",-69.11%,"$3,821,318"
BIIB,"$41,173",Benchmark,159.3,6.35%,"$22,543","$26,676",-86.41%,"$86,851"
BLK,"$78,118",Benchmark,91.6,12.85%,"$36,762","$39,706",-73.09%,"$105,021"
BX,"$622,056",Strategy,115.8,41.09%,"$61,070","$153,752",-46.89%,"$899,401"
BK,"$344,336",Benchmark,121.6,10.64%,"$86,180","$90,061",-70.92%,"$383,289"
BA,"$11,155,313",Strategy,137.7,17.73%,"$694,049","$3,152,740",-66.23%,"$21,902,031"
BKNG,"$675,859",Strategy,129.8,28.13%,"$159,381","$205,301",-73.38%,"$811,531"
BSX,"$18,578",Benchmark,149.6,2.86%,"$8,723","$9,765",-92.55%,"$26,474"
BMY,"$1,058,153",Benchmark,118.9,13.82%,"$168,828","$289,720",-76.5%,"$1,154,964"
AVGO,"$856,700",Benchmark,72.0,56.06%,"$101,230","$221,129",-41.03%,"$1,378,729"
BR,"$91,542",Benchmark,81.2,20.26%,"$29,580","$33,892",-44.6%,"$93,958"
BRO,"$6,180,834",Benchmark,109.9,23.89%,"$383,549","$697,453",-60.92%,"$6,180,834"
BF-B,"$599,040",Benchmark,116.9,14.11%,"$110,910","$275,256",-58.88%,"$1,456,759"
BLDR,"$120,542",Strategy,166.5,21.11%,"$12,729","$31,440",-86.82%,"$209,263"
BG,"$60,937",Strategy,133.3,11.96%,"$34,001","$38,269",-49.73%,"$90,142"
BXP,"$40,311",Benchmark,121.1,7.61%,"$38,560","$34,229",-76.09%,"$67,201"
CHRW,"$90,015",Benchmark,131.2,12.98%,"$50,756","$48,079",-46.88%,"$108,437"
CDNS,"$846,443",Benchmark,110.6,18.61%,"$73,536","$157,463",-78.23%,"$1,238,839"
CZR,"$19,060",Benchmark,132.3,9.65%,"$30,256","$32,796",-78.38%,"$83,329"
CPT,"$226,323",Benchmark,103.1,16.01%,"$49,386","$69,349",-70.83%,"$256,668"
CPB,"$316,835",Benchmark,132.1,10.08%,"$118,534","$134,600",-73.29%,"$386,180"
COF,"$325,598",Strategy,138.2,19.02%,"$89,041","$112,714",-76.15%,"$459,252"
CAH,"$591,742",Benchmark,131.9,15.69%,"$141,432","$152,463",-68.93%,"$598,561"
KMX,"$122,508",Strategy,155.7,14.1%,"$112,174","$112,513",-70.14%,"$375,052"
CCL,"$247,542",Strategy,139.5,13.14%,"$85,632","$106,403",-73.15%,"$403,169"
CARR,"$16,721",Benchmark,83.3,18.69%,"$13,952","$14,206",-36.75%,"$22,699"
CAT,"$2,305,363",Benchmark,140.2,13.49%,"$174,588","$467,871",-70.19%,"$2,803,325"
CBOE,"$82,098",Benchmark,86.7,23.43%,"$25,552","$30,624",-36.74%,"$82,276"
CBRE,"$76,095",Benchmark,114.9,15.6%,"$24,630","$30,384",-75.97%,"$86,458"
CDW,"$33,999",Benchmark,80.4,16.53%,"$31,694","$30,364",-49.85%,"$51,883"
COR,"$332,234",Benchmark,109.5,19.14%,"$41,944","$82,806",-72.55%,"$332,234"
CNC,"$43,277",Benchmark,128.5,9.59%,"$23,501","$27,159",-75.01%,"$67,406"
CNP,"$1,171,956",Benchmark,121.9,11.72%,"$81,251","$209,322",-61.08%,"$1,385,403"
CF,"$121,671",Benchmark,113.2,21.19%,"$53,653","$64,070",-68.88%,"$186,547"
CRL,"$36,959",Benchmark,114.2,7.99%,"$10,000","$15,972",-69.1%,"$61,965"
SCHW,"$779,220",Benchmark,135.7,19.03%,"$490,041","$500,161",-93.67%,"$2,715,732"
CHTR,"$83,324",Benchmark,97.5,23.62%,"$57,139","$57,081",-54.01%,"$134,768"
CVX,"$5,641,483",Strategy,114.9,15.87%,"$419,252","$1,467,090",-52.46%,"$7,530,103"
CMG,"$448,925",Strategy,98.8,34.0%,"$82,769","$144,844",-58.83%,"$613,500"
CB,"$801,091",Strategy,106.5,22.05%,"$145,959","$230,930",-55.42%,"$810,259"
CHD,"$2,399,952",Benchmark,97.2,19.34%,"$173,388","$581,976",-60.3%,"$2,452,822"
CI,"$917,984",Benchmark,122.2,16.86%,"$65,500","$232,055",-47.65%,"$1,196,926"
CINF,"$1,796,494",Benchmark,115.6,18.23%,"$215,322","$381,918",-52.01%,"$1,965,356"
CTAS,"$3,818,509",Benchmark,86.7,23.65%,"$170,703","$440,490",-74.42%,"$4,337,520"
CSCO,"$263,432",Benchmark,119.0,14.6%,"$247,929","$274,485",-90.53%,"$1,507,088"
C,"$146,424",Strategy,135.0,8.47%,"$54,429","$63,782",-83.73%,"$196,459"
CFG,"$6,890",Benchmark,146.6,-5.18%,"$8,611","$8,231",-58.75%,"$11,326"
CLX,"$607,977",Benchmark,113.0,12.09%,"$149,061","$203,194",-65.96%,"$927,921"
CME,"$266,584",Benchmark,88.6,24.47%,"$49,763","$73,661",-80.22%,"$266,584"
CMS,"$44,205",Benchmark,130.5,4.21%,"$12,936","$19,260",-80.35%,"$75,247"
KO,"$9,603,660",Benchmark,105.7,17.32%,"$1,291,918","$2,354,923",-62.65%,"$10,415,724"
CTSH,"$858,436",Benchmark,136.1,28.06%,"$640,171","$570,891",-61.9%,"$1,252,248"
CL,"$976,291",Benchmark,111.1,13.98%,"$340,584","$389,168",-58.57%,"$1,188,290"
CMCSA,"$263,306",Benchmark,127.1,11.13%,"$88,742","$118,484",-67.71%,"$403,651"
CAG,"$176,502",Benchmark,113.3,9.7%,"$70,774","$89,435",-55.37%,"$247,085"
COP,"$122,635",Benchmark,127.8,9.03%,"$36,542","$48,751",-62.62%,"$200,443"
ED,"$4,109,538",Benchmark,103.9,15.02%,"$387,917","$1,057,837",-36.56%,"$4,952,744"
STZ,"$271,589",Benchmark,119.9,16.19%,"$65,237","$140,615",-66.13%,"$432,504"
CEG,"$15,243",Benchmark,48.0,23.47%,"$12,130","$14,355",-44.65%,"$27,540"
COO,"$11,206",Benchmark,140.1,0.39%,"$7,109","$7,565",-99.17%,"$22,370"
CPRT,"$1,917,835",Benchmark,100.8,28.44%,"$100,857","$342,036",-56.03%,"$2,160,273"
GLW,"$88,034",Benchmark,138.7,7.79%,"$55,551","$63,665",-96.23%,"$401,654"
CPAY,"$114,405",Benchmark,122.7,31.1%,"$60,149","$59,740",-49.71%,"$140,286"
CTVA,"$14,993",Benchmark,96.2,10.66%,"$12,720","$12,117",-33.8%,"$16,133"
CSGP,"$76,168",Benchmark,130.6,11.94%,"$15,824","$40,530",-65.49%,"$161,656"
COST,"$269,349",Benchmark,111.8,13.5%,"$16,698","$42,447",-71.51%,"$286,896"
CTRA,"$34,693",Benchmark,149.0,5.32%,"$22,331","$26,417",-81.85%,"$102,973"
CRWD,"$45,711",Benchmark,123.2,46.22%,"$26,776","$29,697",-61.38%,"$59,815"
